fips2000,fips2010,fmr2,fmr0,fmr1,fmr3,fmr4,State,Metro_code,areaname,county,CouSub,countyname,county_town_name,pop2010,acs_2015_2,state_alpha,fmr_type,metro,FMR_PCT_Change,FMR_Dollar_Change
,2300512300,1096,754,875,1472,1543,23,METRO38860MM6400,"Portland, ME HUD Metro FMR Area",,12300,Cumberland County,Chebeague Island town,341,1074,ME,40,1,1.020484171,22
,6001099999,660,490,493,962,1043,60,NCNTY60010N60010,American Samoa,10,99999,American Samoa,American Samoa,55519,1074,AS,40,0,0.6145251397,-414
,6901099999,648,400,484,944,1131,69,NCNTY69010N69010,Northern Mariana Islands,10,99999,Northern Mariana Islands,Northern Mariana Islands,53883,1074,MP,40,0,0.6033519553,-426
0100199999,0100199999,778,558,639,1016,1319,1,METRO33860M33860,"Montgomery, AL MSA",1,99999,Autauga County,Autauga County,54571,788,AL,40,1,0.9873096447,-10
0100399999,0100399999,863,709,746,1258,1455,1,METRO19300M19300,"Daphne-Fairhope-Foley, AL MSA",3,99999,Baldwin County,Baldwin County,182265,762,AL,40,1,1.132545932,101
0100599999,0100599999,629,467,470,781,862,1,NCNTY01005N01005,"Barbour County, AL",5,99999,Barbour County,Barbour County,27457,670,AL,40,0,0.9388059701,-41
0100799999,0100799999,830,605,717,1121,1235,1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",7,99999,Bibb County,Bibb County,22915,773,AL,40,1,1.07373868,57
0100999999,0100999999,830,605,717,1121,1235,1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",9,99999,Blount County,Blount County,57322,773,AL,40,1,1.07373868,57
0101199999,0101199999,562,446,449,819,973,1,NCNTY01011N01011,"Bullock County, AL",11,99999,Bullock County,Bullock County,10914,599,AL,40,0,0.938230384,-37
0101399999,0101399999,562,417,420,790,820,1,NCNTY01013N01013,"Butler County, AL",13,99999,Butler County,Butler County,20947,599,AL,40,0,0.938230384,-37
