zcta,CBSASub20,Areaname20,safmr_0br,safmr_0br_90pct_pay_std,safmr_0br_110pct_pay_std,safmr_1br,safmr_1br_90pct_pay_std,safmr_1br_110pct_pay_std,safmr_2br,safmr_2br_90pct_pay_std,safmr_2br_110pct_pay_std,safmr_3br,safmr_3br_90pct_pay_std,safmr_3br_110pct_pay_std,safmr_4br,safmr_4br_90pct_pay_std,safmr_4br_110pct_pay_std
76437,METRO10180M10180,"Abilene, TX MSA",540,486,594,560,504,616,740,666,814,960,864,1056,1240,1116,1364
76443,METRO10180M10180,"Abilene, TX MSA",540,486,594,560,504,616,740,666,814,960,864,1056,1240,1116,1364
76464,METRO10180M10180,"Abilene, TX MSA",540,486,594,560,504,616,740,666,814,960,864,1056,1240,1116,1364
76469,METRO10180M10180,"Abilene, TX MSA",550,495,605,580,522,638,760,684,836,1000,900,1100,1290,1161,1419
79501,METRO10180M10180,"Abilene, TX MSA",670,603,737,690,621,759,910,819,1001,1200,1080,1320,1540,1386,1694
79503,METRO10180M10180,"Abilene, TX MSA",580,522,638,600,540,660,790,711,869,1050,945,1155,1350,1215,1485
79504,METRO10180M10180,"Abilene, TX MSA",590,531,649,620,558,682,810,729,891,1060,954,1166,1370,1233,1507
79508,METRO10180M10180,"Abilene, TX MSA",620,558,682,650,585,715,850,765,935,1120,1008,1232,1440,1296,1584
79510,METRO10180M10180,"Abilene, TX MSA",620,558,682,650,585,715,850,765,935,1120,1008,1232,1440,1296,1584
79519,METRO10180M10180,"Abilene, TX MSA",640,576,704,660,594,726,870,783,957,1140,1026,1254,1480,1332,1628
79520,METRO10180M10180,"Abilene, TX MSA",540,486,594,560,504,616,740,666,814,960,864,1056,1240,1116,1364
79521,METRO10180M10180,"Abilene, TX MSA",580,522,638,600,540,660,790,711,869,1040,936,1144,1340,1206,1474
79525,METRO10180M10180,"Abilene, TX MSA",580,522,638,600,540,660,790,711,869,1040,936,1144,1340,1206,1474
79530,METRO10180M10180,"Abilene, TX MSA",560,504,616,580,522,638,760,684,836,1000,900,1100,1290,1161,1419
79533,METRO10180M10180,"Abilene, TX MSA",580,522,638,600,540,660,790,711,869,1040,936,1144,1340,1206,1474
79536,METRO10180M10180,"Abilene, TX MSA",640,576,704,670,603,737,880,792,968,1160,1044,1276,1490,1341,1639
79541,METRO10180M10180,"Abilene, TX MSA",600,540,660,620,558,682,810,729,891,1070,963,1177,1380,1242,1518
79553,METRO10180M10180,"Abilene, TX MSA",540,486,594,560,504,616,740,666,814,960,864,1056,1240,1116,1364
79560,METRO10180M10180,"Abilene, TX MSA",570,513,627,590,531,649,780,702,858,1020,918,1122,1320,1188,1452
79561,METRO10180M10180,"Abilene, TX MSA",540,486,594,560,504,616,740,666,814,960,864,1056,1240,1116,1364
79562,METRO10180M10180,"Abilene, TX MSA",600,540,660,620,558,682,820,738,902,1080,972,1188,1390,1251,1529
79563,METRO10180M10180,"Abilene, TX MSA",580,522,638,600,540,660,790,711,869,1040,936,1144,1340,1206,1474
79566,METRO10180M10180,"Abilene, TX MSA",640,576,704,660,594,726,870,783,957,1140,1026,1254,1480,1332,1628
79567,METRO10180M10180,"Abilene, TX MSA",640,576,704,660,594,726,870,783,957,1140,1026,1254,1480,1332,1628
79601,METRO10180M10180,"Abilene, TX MSA",580,522,638,610,549,671,800,720,880,1050,945,1155,1360,1224,1496
79602,METRO10180M10180,"Abilene, TX MSA",620,558,682,650,585,715,850,765,935,1120,1008,1232,1440,1296,1584
79603,METRO10180M10180,"Abilene, TX MSA",560,504,616,580,522,638,770,693,847,1010,909,1111,1310,1179,1441
79604,METRO10180M10180,"Abilene, TX MSA",640,576,704,660,594,726,870,783,957,1140,1026,1254,1480,1332,1628
79605,METRO10180M10180,"Abilene, TX MSA",640,576,704,660,594,726,870,783,957,1140,1026,1254,1480,1332,1628
79606,METRO10180M10180,"Abilene, TX MSA",690,621,759,720,648,792,950,855,1045,1250,1125,1375,1610,1449,1771
79607,METRO10180M10180,"Abilene, TX MSA",940,846,1034,970,873,1067,1280,1152,1408,1680,1512,1848,2170,1953,2387
79608,METRO10180M10180,"Abilene, TX MSA",640,576,704,660,594,726,870,783,957,1140,1026,1254,1480,1332,1628
79699,METRO10180M10180,"Abilene, TX MSA",580,522,638,610,549,671,800,720,880,1050,945,1155,1360,1224,1496
00602,METRO10380M10380,"Aguadilla-Isabela, PR HUD Metro FMR Area",350,315,385,360,324,396,410,369,451,530,477,583,650,585,715
00603,METRO10380M10380,"Aguadilla-Isabela, PR HUD Metro FMR Area",420,378,462,430,387,473,490,441,539,640,576,704,770,693,847
00604,METRO10380M10380,"Aguadilla-Isabela, PR HUD Metro FMR Area",420,378,462,430,387,473,490,441,539,640,576,704,770,693,847
