RegionID,RegionName,SizeRank,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11
102001,United States,0,1368,1376,1379,1395,1408,1419,1428,1433,1433,1432,1431,1432,1437,1445,1455,1468,1478,1487,1493,1497,1499,1498,1500,1499,1505,1513,1523,1534,1543,1552,1553,1556,1556,1555,1554,1554,1558,1564,1572,1583,1592,1599,1605,1605,1597,1597,1599,1600,1605,1613,1623,1633,1644,1654,1659,1661,1661,1660,1662,1662,1665,1674,1684,1695,1706,1716,1721,1723,1720,1717,1715,1720,1730,1740,1748,1745,1743,1744,1745,1737,1734,1729,1734
394913,"New York, NY",1,2329,2351,2355,2385,2414,2434,2447,2455,2456,2455,2455,2452,2459,2471,2491,2520,2533,2550,2560,2563,2570,2570,2562,2558,2562,2565,2574,2601,2614,2625,2609,2622,2623,2620,2617,2604,2610,2612,2620,2639,2654,2663,2671,2665,2680,2660,2644,2637,2630,2640,2652,2671,2686,2701,2710,2712,2711,2700,2692,2686,2692,2703,2719,2726,2754,2777,2785,2788,2778,2779,2757,2748,2756,2785,2804,2788,2772,2752,2717,2654,2600,2543,2528
753899,"Los Angeles-Long Beach-Anaheim, CA",2,1866,1886,1891,1916,1939,1962,1985,1996,2003,2010,2016,2020,2033,2039,2056,2073,2086,2097,2115,2129,2143,2146,2159,2163,2176,2186,2200,2218,2239,2249,2254,2270,2278,2286,2284,2291,2297,2311,2321,2340,2354,2363,2376,2385,2388,2391,2390,2391,2403,2415,2422,2436,2444,2463,2470,2481,2488,2498,2505,2505,2506,2515,2522,2534,2540,2554,2564,2573,2575,2570,2571,2584,2600,2608,2609,2587,2569,2573,2574,2570,2568,2568,2579
394463,"Chicago, IL",3,1448,1461,1464,1482,1498,1510,1519,1521,1517,1508,1506,1504,1509,1515,1505,1516,1538,1555,1563,1570,1566,1556,1549,1549,1556,1566,1577,1591,1605,1615,1620,1620,1610,1599,1590,1586,1585,1597,1611,1624,1638,1646,1651,1645,1637,1623,1613,1614,1619,1629,1640,1651,1665,1676,1680,1678,1668,1656,1649,1648,1655,1664,1679,1694,1708,1716,1721,1724,1714,1706,1698,1694,1705,1714,1725,1723,1722,1723,1720,1709,1690,1674,1661
394514,"Dallas-Fort Worth, TX",4,1202,1202,1207,1219,1232,1244,1251,1257,1257,1252,1254,1261,1261,1268,1282,1294,1303,1313,1318,1323,1322,1320,1324,1319,1323,1334,1345,1357,1369,1382,1387,1390,1389,1391,1391,1391,1392,1398,1409,1415,1426,1436,1442,1442,1440,1439,1438,1439,1442,1449,1455,1462,1469,1481,1485,1483,1482,1484,1492,1487,1490,1497,1504,1515,1525,1535,1539,1540,1535,1538,1534,1535,1542,1551,1556,1550,1544,1549,1556,1555,1556,1560,1570
394974,"Philadelphia, PA",5,1353,1346,1356,1364,1372,1379,1387,1389,1389,1382,1375,1362,1377,1378,1389,1400,1411,1416,1423,1421,1418,1419,1417,1418,1413,1423,1435,1447,1455,1460,1466,1459,1460,1457,1462,1465,1460,1463,1473,1481,1486,1490,1491,1490,1488,1484,1482,1480,1479,1492,1501,1513,1526,1526,1531,1533,1533,1533,1537,1534,1539,1546,1559,1567,1572,1579,1586,1583,1583,1582,1585,1587,1591,1600,1612,1607,1603,1604,1608,1607,1612,1603,1610
394692,"Houston, TX",6,1245,1248,1262,1301,1325,1344,1359,1364,1361,1365,1357,1359,1361,1368,1378,1388,1399,1406,1409,1411,1409,1398,1399,1398,1397,1402,1405,1409,1414,1419,1420,1415,1411,1406,1399,1396,1394,1396,1400,1402,1408,1411,1408,1407,1413,1423,1429,1435,1437,1444,1449,1455,1461,1464,1469,1468,1463,1455,1460,1453,1450,1453,1463,1471,1480,1485,1491,1490,1485,1477,1475,1482,1488,1492,1497,1492,1484,1485,1483,1484,1487,1483,1492
395209,"Washington, DC",7,1852,1859,1862,1873,1888,1897,1908,1914,1916,1905,1895,1883,1891,1893,1903,1916,1926,1935,1938,1936,1934,1934,1936,1930,1934,1944,1952,1961,1971,1982,1958,1970,1971,1965,1961,1957,1965,1970,1976,1994,2006,2012,2017,2012,2002,1993,1982,1980,1980,1988,1994,2011,2029,2044,2053,2054,2048,2042,2037,2037,2038,2053,2062,2074,2089,2101,2105,2107,2102,2093,2082,2084,2097,2105,2118,2110,2102,2098,2094,2080,2063,2039,2039
394856,"Miami-Fort Lauderdale, FL",8,1561,1557,1559,1569,1577,1583,1598,1608,1619,1626,1632,1638,1642,1654,1655,1659,1674,1680,1686,1699,1709,1716,1723,1727,1734,1747,1751,1750,1754,1754,1756,1762,1766,1769,1773,1773,1774,1774,1779,1779,1778,1779,1786,1790,1794,1800,1801,1805,1809,1815,1815,1818,1819,1828,1834,1841,1848,1853,1861,1861,1860,1865,1863,1866,1872,1871,1876,1882,1884,1892,1899,1907,1915,1921,1924,1914,1903,1902,1906,1908,1906,1916,1935
394347,"Atlanta, GA",9,1123,1127,1129,1138,1147,1158,1163,1165,1164,1165,1169,1169,1171,1178,1187,1197,1208,1219,1229,1230,1228,1226,1228,1229,1236,1244,1257,1270,1281,1293,1300,1305,1305,1309,1307,1306,1311,1317,1327,1338,1347,1359,1368,1372,1376,1371,1371,1372,1378,1386,1400,1408,1423,1432,1440,1447,1452,1454,1460,1463,1471,1479,1487,1498,1503,1511,1521,1525,1528,1525,1520,1522,1529,1542,1552,1546,1546,1552,1563,1575,1588,1598,1607
