,zip,city,county,state,level,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,city_id
0,01752,Marlborough,Middlesex County,MA,low,1669,1667,1664,1661,1657,2538715
2,01752,Marlborough,Middlesex County,MA,low,1669,1667,1664,1661,1657,2500000
4,01752,Marlborough,Middlesex County,MA,high,1674,1678,1682,1686,1689,2538715
6,01752,Marlborough,Middlesex County,MA,high,1674,1678,1682,1686,1689,2500000
8,01760,Natick,Middlesex County,MA,low,1933,1919,1904,1889,1873,2500000
9,01760,Natick,Middlesex County,MA,high,1942,1940,1939,1940,1940,2500000
10,01801,Woburn,Middlesex County,MA,low,2003,1984,1966,1949,1929,2581035
12,01801,Woburn,Middlesex County,MA,low,2003,1984,1966,1949,1929,2500000
14,01801,Woburn,Middlesex County,MA,high,2023,2015,2006,1998,1986,2581035
16,01801,Woburn,Middlesex County,MA,high,2023,2015,2006,1998,1986,2500000
18,01851,Lowell,Middlesex County,MA,low,1381,1421,1419,1430,1402,2537000
20,01851,Lowell,Middlesex County,MA,low,1381,1421,1419,1430,1402,2500000
22,01851,Lowell,Middlesex County,MA,high,1553,1592,1590,1601,1573,2537000
24,01851,Lowell,Middlesex County,MA,high,1553,1592,1590,1601,1573,2500000
26,01852,Lowell,Middlesex County,MA,low,1377,1372,1371,1374,1386,2537000
28,01852,Lowell,Middlesex County,MA,low,1377,1372,1371,1374,1386,2500000
30,01852,Lowell,Middlesex County,MA,high,2006,2003,2006,2014,2031,2537000
32,01852,Lowell,Middlesex County,MA,high,2006,2003,2006,2014,2031,2500000
34,01960,Peabody,Essex County,MA,low,1791,1796,1817,1790,1822,2552490
36,01960,Peabody,Essex County,MA,low,1791,1796,1817,1790,1822,2500000
38,01960,Peabody,Essex County,MA,high,2041,2068,2096,2074,2111,2552490
40,01960,Peabody,Essex County,MA,high,2041,2068,2096,2074,2111,2500000
42,01970,Salem,Essex County,MA,low,1906,1920,1930,1941,1951,2559105
44,01970,Salem,Essex County,MA,low,1906,1920,1930,1941,1951,2500000
46,01970,Salem,Essex County,MA,high,2067,2081,2092,2103,2113,2559105
48,01970,Salem,Essex County,MA,high,2067,2081,2092,2103,2113,2500000
50,02026,Dedham,Norfolk County,MA,low,1776,1848,1866,1834,1858,2500000
51,02026,Dedham,Norfolk County,MA,high,2186,2283,2324,2312,2356,2500000
52,02108,Boston,Suffolk County,MA,low,2623,2596,2568,2538,2509,2507000
54,02108,Boston,Suffolk County,MA,low,2623,2596,2568,2538,2509,2500000
56,02108,Boston,Suffolk County,MA,high,2637,2628,2621,2615,2612,2507000
58,02108,Boston,Suffolk County,MA,high,2637,2628,2621,2615,2612,2500000
60,02109,Boston,Suffolk County,MA,low,2579,2548,2342,2566,2562,2507000
62,02109,Boston,Suffolk County,MA,low,2579,2548,2342,2566,2562,2500000
64,02109,Boston,Suffolk County,MA,high,3119,3092,2910,3153,3168,2507000
66,02109,Boston,Suffolk County,MA,high,3119,3092,2910,3153,3168,2500000
68,02110,Boston,Suffolk County,MA,low,1900,2048,1353,782,1960,2507000
70,02110,Boston,Suffolk County,MA,low,1900,2048,1353,782,1960,2500000
72,02110,Boston,Suffolk County,MA,high,6210,6364,5729,5189,6403,2507000
74,02110,Boston,Suffolk County,MA,high,6210,6364,5729,5189,6403,2500000
76,02113,Boston,Suffolk County,MA,low,2178,2127,2075,2019,1958,2507000
78,02113,Boston,Suffolk County,MA,low,2178,2127,2075,2019,1958,2500000
80,02113,Boston,Suffolk County,MA,high,2192,2157,2125,2094,2059,2507000
82,02113,Boston,Suffolk County,MA,high,2192,2157,2125,2094,2059,2500000
84,02114,Boston,Suffolk County,MA,low,2295,2198,2093,1984,1860,2507000
86,02114,Boston,Suffolk County,MA,low,2295,2198,2093,1984,1860,2500000
88,02114,Boston,Suffolk County,MA,high,2353,2321,2294,2273,2249,2507000
90,02114,Boston,Suffolk County,MA,high,2353,2321,2294,2273,2249,2500000
92,02115,Boston,Suffolk County,MA,low,2448,2396,2341,2285,2224,2507000
94,02115,Boston,Suffolk County,MA,low,2448,2396,2341,2285,2224,2500000
96,02115,Boston,Suffolk County,MA,high,2460,2422,2384,2348,2310,2507000
98,02115,Boston,Suffolk County,MA,high,2460,2422,2384,2348,2310,2500000
100,02116,Boston,Suffolk County,MA,low,2523,2485,2446,2405,2361,2507000
102,02116,Boston,Suffolk County,MA,low,2523,2485,2446,2405,2361,2500000
104,02116,Boston,Suffolk County,MA,high,2533,2506,2481,2457,2430,2507000
106,02116,Boston,Suffolk County,MA,high,2533,2506,2481,2457,2430,2500000
108,02118,Boston,Suffolk County,MA,low,2699,2652,2602,2547,2485,2507000
110,02118,Boston,Suffolk County,MA,low,2699,2652,2602,2547,2485,2500000
112,02118,Boston,Suffolk County,MA,high,2713,2681,2649,2617,2580,2507000
114,02118,Boston,Suffolk County,MA,high,2713,2681,2649,2617,2580,2500000
116,02127,Boston,Suffolk County,MA,low,2745,2718,2691,2662,2629,2507000
118,02127,Boston,Suffolk County,MA,low,2745,2718,2691,2662,2629,2500000
120,02127,Boston,Suffolk County,MA,high,2753,2735,2718,2702,2683,2507000
122,02127,Boston,Suffolk County,MA,high,2753,2735,2718,2702,2683,2500000
124,02128,Boston,Suffolk County,MA,low,2249,2223,2197,2169,2139,2507000
126,02128,Boston,Suffolk County,MA,low,2249,2223,2197,2169,2139,2500000
128,02128,Boston,Suffolk County,MA,high,2256,2239,2224,2209,2192,2507000
130,02128,Boston,Suffolk County,MA,high,2256,2239,2224,2209,2192,2500000
132,02210,Boston,Suffolk County,MA,low,2455,2192,2231,2238,2153,2507000
134,02210,Boston,Suffolk County,MA,low,2455,2192,2231,2238,2153,2500000
136,02210,Boston,Suffolk County,MA,high,3938,3789,3945,4063,4082,2507000
138,02210,Boston,Suffolk County,MA,high,3938,3789,3945,4063,4082,2500000
140,02215,Boston,Suffolk County,MA,low,2152,2118,2083,2044,2003,2507000
142,02215,Boston,Suffolk County,MA,low,2152,2118,2083,2044,2003,2500000
144,02215,Boston,Suffolk County,MA,high,2161,2140,2118,2097,2075,2507000
146,02215,Boston,Suffolk County,MA,high,2161,2140,2118,2097,2075,2500000
148,02138,Cambridge,Middlesex County,MA,low,2303,2269,2232,2192,2151,2511000
150,02138,Cambridge,Middlesex County,MA,low,2303,2269,2232,2192,2151,2500000
152,02138,Cambridge,Middlesex County,MA,high,2314,2293,2271,2249,2228,2511000
154,02138,Cambridge,Middlesex County,MA,high,2314,2293,2271,2249,2228,2500000
156,02139,Cambridge,Middlesex County,MA,low,2531,2491,2449,2405,2356,2511000
158,02139,Cambridge,Middlesex County,MA,low,2531,2491,2449,2405,2356,2500000
160,02139,Cambridge,Middlesex County,MA,high,2540,2510,2481,2451,2419,2511000
162,02139,Cambridge,Middlesex County,MA,high,2540,2510,2481,2451,2419,2500000
164,02141,Cambridge,Middlesex County,MA,low,2558,2525,2490,2450,2410,2511000
166,02141,Cambridge,Middlesex County,MA,low,2558,2525,2490,2450,2410,2500000
168,02141,Cambridge,Middlesex County,MA,high,2571,2553,2535,2518,2501,2511000
170,02141,Cambridge,Middlesex County,MA,high,2571,2553,2535,2518,2501,2500000
172,02145,Somerville,Middlesex County,MA,low,2434,2384,2329,2271,2204,2562535
174,02145,Somerville,Middlesex County,MA,low,2434,2384,2329,2271,2204,2500000
176,02145,Somerville,Middlesex County,MA,high,2469,2447,2425,2404,2379,2562535
178,02145,Somerville,Middlesex County,MA,high,2469,2447,2425,2404,2379,2500000
180,02148,Malden,Middlesex County,MA,low,2043,2031,2018,2005,1990,2537875
182,02148,Malden,Middlesex County,MA,low,2043,2031,2018,2005,1990,2500000
184,02148,Malden,Middlesex County,MA,high,2049,2045,2040,2035,2030,2537875
186,02148,Malden,Middlesex County,MA,high,2049,2045,2040,2035,2030,2500000
188,02155,Medford,Middlesex County,MA,low,2274,2258,2241,2222,2202,2539835
190,02155,Medford,Middlesex County,MA,low,2274,2258,2241,2222,2202,2500000
192,02155,Medford,Middlesex County,MA,high,2280,2270,2259,2249,2239,2539835
194,02155,Medford,Middlesex County,MA,high,2280,2270,2259,2249,2239,2500000
196,02169,Quincy,Norfolk County,MA,low,1968,1957,1945,1933,1920,2555745
198,02169,Quincy,Norfolk County,MA,low,1968,1957,1945,1933,1920,2500000
200,02169,Quincy,Norfolk County,MA,high,1974,1968,1964,1961,1956,2555745
202,02169,Quincy,Norfolk County,MA,high,1974,1968,1964,1961,1956,2500000
204,02184,Braintree,Norfolk County,MA,low,2313,2310,2287,2270,2254,2507740
206,02184,Braintree,Norfolk County,MA,low,2313,2310,2287,2270,2254,2500000
208,02184,Braintree,Norfolk County,MA,high,2563,2586,2608,2623,2639,2507740
210,02184,Braintree,Norfolk County,MA,high,2563,2586,2608,2623,2639,2500000
212,02301,Brockton,Plymouth County,MA,low,1481,1523,1542,1549,1384,2509000
214,02301,Brockton,Plymouth County,MA,low,1481,1523,1542,1549,1384,2500000
216,02301,Brockton,Plymouth County,MA,high,1806,1888,1924,1941,1785,2509000
218,02301,Brockton,Plymouth County,MA,high,1806,1888,1924,1941,1785,2500000
220,02360,Plymouth,Plymouth County,MA,low,2084,2086,2088,2089,2089,2500000
222,02360,Plymouth,Plymouth County,MA,high,2091,2100,2109,2119,2129,2500000
224,02445,Brookline,Norfolk County,MA,low,2503,2481,2458,2433,2410,2500000
225,02445,Brookline,Norfolk County,MA,high,2514,2506,2498,2491,2487,2500000
226,02446,Brookline,Norfolk County,MA,low,2532,2497,2460,2421,2378,2500000
227,02446,Brookline,Norfolk County,MA,high,2542,2517,2493,2470,2444,2500000
228,02472,Watertown,Middlesex County,MA,low,2230,2208,2186,2161,2134,2573440
230,02472,Watertown,Middlesex County,MA,low,2230,2208,2186,2161,2134,2500000
232,02472,Watertown,Middlesex County,MA,high,2237,2224,2212,2200,2186,2573440
234,02472,Watertown,Middlesex County,MA,high,2237,2224,2212,2200,2186,2500000
236,02474,Arlington,Middlesex County,MA,low,2112,2105,2096,2087,2076,2500000
237,02474,Arlington,Middlesex County,MA,high,2118,2116,2114,2113,2111,2500000
238,02840,Newport,Newport County,RI,low,2187,2196,2204,2211,2218,4449960
