,zip,city,state,level,in_1_month,in_2_months,in_3_months,in_4_months,in_5_months
0,01752,Marlborough,MA,low,1669,1667,1664,1661,1657
1,01752,Marlborough,MA,high,1674,1678,1682,1686,1689
2,01760,Natick,MA,low,1933,1919,1904,1889,1873
3,01760,Natick,MA,high,1942,1940,1939,1940,1940
4,01801,Woburn,MA,low,2003,1984,1966,1949,1929
5,01801,Woburn,MA,high,2023,2015,2006,1998,1986
6,01851,Lowell,MA,low,1381,1421,1419,1430,1402
7,01851,Lowell,MA,high,1553,1592,1590,1601,1573
8,01852,Lowell,MA,low,1377,1372,1371,1374,1386
9,01852,Lowell,MA,high,2006,2003,2006,2014,2031
10,01960,Peabody,MA,low,1791,1796,1817,1790,1822
11,01960,Peabody,MA,high,2041,2068,2096,2074,2111
12,01970,Salem,MA,low,1906,1920,1930,1941,1951
13,01970,Salem,MA,high,2067,2081,2092,2103,2113
14,02026,Dedham,MA,low,1776,1848,1866,1834,1858
15,02026,Dedham,MA,high,2186,2283,2324,2312,2356
16,02108,Boston,MA,low,2623,2596,2568,2538,2509
17,02108,Boston,MA,high,2637,2628,2621,2615,2612
18,02109,Boston,MA,low,2579,2548,2342,2566,2562
19,02109,Boston,MA,high,3119,3092,2910,3153,3168
20,02110,Boston,MA,low,1900,2048,1353,782,1960
21,02110,Boston,MA,high,6210,6364,5729,5189,6403
22,02113,Boston,MA,low,2178,2127,2075,2019,1958
23,02113,Boston,MA,high,2192,2157,2125,2094,2059
24,02114,Boston,MA,low,2295,2198,2093,1984,1860
25,02114,Boston,MA,high,2353,2321,2294,2273,2249
26,02115,Boston,MA,low,2448,2396,2341,2285,2224
27,02115,Boston,MA,high,2460,2422,2384,2348,2310
28,02116,Boston,MA,low,2523,2485,2446,2405,2361
29,02116,Boston,MA,high,2533,2506,2481,2457,2430
30,02118,Boston,MA,low,2699,2652,2602,2547,2485
31,02118,Boston,MA,high,2713,2681,2649,2617,2580
32,02119,Roxbury,MA,low,2746,2744,2741,2740,2738
33,02119,Roxbury,MA,high,2757,2768,2781,2797,2812
34,02120,Roxbury Crossing,MA,low,3536,3493,3455,3422,3387
35,02120,Roxbury Crossing,MA,high,3649,3654,3651,3648,3640
36,02121,Dorchester,MA,low,1922,1816,1680,1926,1907
37,02121,Dorchester,MA,high,3492,3391,3257,3504,3485
38,02122,Dorchester,MA,low,2364,2375,2386,2396,2408
39,02122,Dorchester,MA,high,2375,2391,2406,2422,2438
40,02124,Dorchester Center,MA,low,2067,2068,2071,2062,2083
41,02124,Dorchester Center,MA,high,2609,2616,2622,2616,2639
42,02125,Dorchester,MA,low,2360,2311,2256,2195,2124
43,02125,Dorchester,MA,high,2403,2381,2356,2327,2293
44,02127,Boston,MA,low,2745,2718,2691,2662,2629
45,02127,Boston,MA,high,2753,2735,2718,2702,2683
46,02128,Boston,MA,low,2249,2223,2197,2169,2139
47,02128,Boston,MA,high,2256,2239,2224,2209,2192
48,02130,Jamaica Plain,MA,low,2352,2334,2313,2292,2268
49,02130,Jamaica Plain,MA,high,2358,2347,2335,2324,2312
50,02131,Roslindale,MA,low,2157,2143,2127,2111,2095
51,02131,Roslindale,MA,high,2165,2160,2155,2151,2149
52,02132,West Roxbury,MA,low,2158,2154,2149,2144,2138
53,02132,West Roxbury,MA,high,2162,2161,2161,2161,2161
54,02135,Brighton,MA,low,2112,2089,2064,2038,2010
55,02135,Brighton,MA,high,2121,2108,2095,2084,2072
56,02138,Cambridge,MA,low,2303,2269,2232,2192,2151
57,02138,Cambridge,MA,high,2314,2293,2271,2249,2228
58,02139,Cambridge,MA,low,2531,2491,2449,2405,2356
59,02139,Cambridge,MA,high,2540,2510,2481,2451,2419
60,02141,Cambridge,MA,low,2558,2525,2490,2450,2410
61,02141,Cambridge,MA,high,2571,2553,2535,2518,2501
62,02145,Somerville,MA,low,2434,2384,2329,2271,2204
63,02145,Somerville,MA,high,2469,2447,2425,2404,2379
64,02148,Malden,MA,low,2043,2031,2018,2005,1990
65,02148,Malden,MA,high,2049,2045,2040,2035,2030
66,02155,Medford,MA,low,2274,2258,2241,2222,2202
67,02155,Medford,MA,high,2280,2270,2259,2249,2239
68,02169,Quincy,MA,low,1968,1957,1945,1933,1920
69,02169,Quincy,MA,high,1974,1968,1964,1961,1956
70,02184,Braintree,MA,low,2313,2310,2287,2270,2254
71,02184,Braintree,MA,high,2563,2586,2608,2623,2639
72,02210,Boston,MA,low,2455,2192,2231,2238,2153
73,02210,Boston,MA,high,3938,3789,3945,4063,4082
74,02215,Boston,MA,low,2152,2118,2083,2044,2003
75,02215,Boston,MA,high,2161,2140,2118,2097,2075
76,02301,Brockton,MA,low,1481,1523,1542,1549,1384
77,02301,Brockton,MA,high,1806,1888,1924,1941,1785
78,02360,Plymouth,MA,low,2084,2086,2088,2089,2089
79,02360,Plymouth,MA,high,2091,2100,2109,2119,2129
80,02445,Brookline,MA,low,2503,2481,2458,2433,2410
81,02445,Brookline,MA,high,2514,2506,2498,2491,2487
82,02446,Brookline,MA,low,2532,2497,2460,2421,2378
83,02446,Brookline,MA,high,2542,2517,2493,2470,2444
84,02459,Newton Center,MA,low,2406,2366,2258,2214,2134
85,02459,Newton Center,MA,high,3199,3198,3312,3327,3385
86,02467,Chestnut Hill,MA,low,2628,2608,2587,2564,2538
87,02467,Chestnut Hill,MA,high,2640,2634,2631,2628,2625
88,02472,Watertown,MA,low,2230,2208,2186,2161,2134
89,02472,Watertown,MA,high,2237,2224,2212,2200,2186
90,02474,Arlington,MA,low,2112,2105,2096,2087,2076
91,02474,Arlington,MA,high,2118,2116,2114,2113,2111
92,02720,Fall River,MA,low,765,770,774,791,811
93,02720,Fall River,MA,high,1662,1673,1686,1706,1731
94,02760,North Attleboro,MA,low,773,808,611,557,499
95,02760,North Attleboro,MA,high,2010,2064,2152,2161,2266
96,02840,Newport,RI,low,2187,2196,2204,2211,2218
97,02840,Newport,RI,high,2194,2210,2226,2243,2259
98,02860,Pawtucket,RI,low,1245,1247,1250,1252,1255
99,02860,Pawtucket,RI,high,1342,1344,1347,1349,1353
100,02906,Providence,RI,low,1757,1768,1779,1789,1799
101,02906,Providence,RI,high,1763,1780,1798,1815,1834
102,02908,Providence,RI,low,1609,1599,1603,1611,1621
103,02908,Providence,RI,high,1772,1774,1780,1788,1798
104,03038,Derry,NH,low,686,857,965,720,724
105,03038,Derry,NH,high,2504,2755,2873,2630,2635
106,03801,Portsmouth,NH,low,1804,1763,1849,1815,1885
107,03801,Portsmouth,NH,high,2527,2506,2597,2567,2640
108,03820,Dover,NH,low,1493,1495,1496,1498,1500
109,03820,Dover,NH,high,1497,1502,1506,1512,1518
110,06010,Bristol,CT,low,1097,1099,1100,1101,1103
111,06010,Bristol,CT,high,1100,1103,1106,1110,1113
112,06040,Manchester,CT,low,1242,1251,1218,1212,1201
113,06040,Manchester,CT,high,1436,1461,1468,1484,1499
114,06105,Hartford,CT,low,1080,1074,1069,1028,1023
115,06105,Hartford,CT,high,1108,1102,1134,1120,1229
116,06106,Hartford,CT,low,545,493,467,475,452
117,06106,Hartford,CT,high,1698,1736,1736,1758,1747
118,06119,West Hartford,CT,low,1491,1485,1480,1476,1472
119,06119,West Hartford,CT,high,1505,1511,1516,1523,1528
120,06401,Ansonia,CT,low,701,730,716,733,771
121,06401,Ansonia,CT,high,1937,1966,1958,1981,2024
122,06484,Shelton,CT,low,1548,1551,1554,1556,1558
123,06484,Shelton,CT,high,1552,1558,1564,1570,1576
124,06492,Wallingford,CT,low,1290,1293,1297,1300,1303
125,06492,Wallingford,CT,high,1295,1304,1315,1324,1334
126,06511,New Haven,CT,low,1651,1652,1653,1654,1655
127,06511,New Haven,CT,high,1656,1660,1666,1671,1676
128,06514,Hamden,CT,low,1775,1778,1779,1778,1780
129,06514,Hamden,CT,high,1783,1794,1805,1816,1829
130,06516,West Haven,CT,low,1472,1472,1473,1474,1477
131,06516,West Haven,CT,high,1481,1486,1491,1495,1501
132,06517,Hamden,CT,low,1568,1565,1565,1567,1573
133,06517,Hamden,CT,high,1637,1642,1647,1654,1664
134,06605,Bridgeport,CT,low,1361,1365,1356,1357,1355
135,06605,Bridgeport,CT,high,1440,1448,1461,1469,1481
136,06606,Bridgeport,CT,low,1929,1928,1928,1928,1929
137,06606,Bridgeport,CT,high,1935,1941,1948,1955,1962
138,06704,Waterbury,CT,low,841,887,838,841,843
139,06704,Waterbury,CT,high,1074,1123,1075,1078,1080
140,06705,Waterbury,CT,low,953,957,961,964,968
141,06705,Waterbury,CT,high,1173,1177,1182,1186,1191
142,06810,Danbury,CT,low,1792,1796,1799,1802,1806
143,06810,Danbury,CT,high,1796,1803,1810,1817,1826
144,06850,Norwalk,CT,low,2003,2003,1996,1997,1996
145,06850,Norwalk,CT,high,2104,2118,2140,2154,2172
146,06854,Norwalk,CT,low,1847,1850,1854,1857,1859
147,06854,Norwalk,CT,high,1851,1859,1868,1876,1885
148,06880,Westport,CT,low,3248,3401,3593,3592,3744
149,06880,Westport,CT,high,5592,5807,6035,6067,6253
150,07002,Bayonne,NJ,low,1781,1783,1785,1786,1786
151,07002,Bayonne,NJ,high,1787,1794,1802,1810,1817
152,07013,Clifton,NJ,low,1858,1859,1863,1864,1866
153,07013,Clifton,NJ,high,2160,2161,2170,2175,2180
154,07016,Cranford,NJ,low,1956,1978,1985,1986,1987
155,07016,Cranford,NJ,high,2114,2155,2171,2179,2186
156,07024,Fort Lee,NJ,low,2284,2277,2270,2263,2255
