,city_id,rental_forecast
0,100820,"[{'in_1_month': {'low': 1256.0, 'high': 1443.0}}, {'in_2_months': {'low': 1242.0, 'high': 1464.0}}, {'in_3_months': {'low': 1238.0, 'high': 1472.0}}, {'in_4_months': {'low': 1236.0, 'high': 1475.0}}, {'in_5_months': {'low': 1236.0, 'high': 1478.0}}]"
1,107000,"[{'in_1_month': {'low': 1224.0, 'high': 1383.75}}, {'in_2_months': {'low': 1229.5, 'high': 1391.5}}, {'in_3_months': {'low': 1229.25, 'high': 1396.75}}, {'in_4_months': {'low': 1231.25, 'high': 1402.75}}, {'in_5_months': {'low': 1227.75, 'high': 1403.25}}]"
2,111416,"[{'in_1_month': {'low': 1256.0, 'high': 1424.0}}, {'in_2_months': {'low': 1252.0, 'high': 1422.0}}, {'in_3_months': {'low': 1253.0, 'high': 1424.0}}, {'in_4_months': {'low': 1260.0, 'high': 1433.0}}, {'in_5_months': {'low': 1260.0, 'high': 1434.0}}]"
3,134024,"[{'in_1_month': {'low': 1060.0, 'high': 1676.0}}, {'in_2_months': {'low': 1064.0, 'high': 1679.0}}, {'in_3_months': {'low': 1067.0, 'high': 1682.0}}, {'in_4_months': {'low': 1073.0, 'high': 1689.0}}, {'in_5_months': {'low': 1074.0, 'high': 1689.0}}]"
4,158848,"[{'in_1_month': {'low': 928.0, 'high': 1574.0}}, {'in_2_months': {'low': 1214.0, 'high': 1863.0}}, {'in_3_months': {'low': 937.0, 'high': 1589.0}}, {'in_4_months': {'low': 931.0, 'high': 1585.0}}, {'in_5_months': {'low': 934.0, 'high': 1590.0}}]"
5,404720,"[{'in_1_month': {'low': 1624.5, 'high': 1629.0}}, {'in_2_months': {'low': 1636.5, 'high': 1646.0}}, {'in_3_months': {'low': 1648.5, 'high': 1663.5}}, {'in_4_months': {'low': 1659.5, 'high': 1681.0}}, {'in_5_months': {'low': 1671.0, 'high': 1699.5}}]"
6,407940,"[{'in_1_month': {'low': 1696.5, 'high': 1701.0}}, {'in_2_months': {'low': 1713.0, 'high': 1722.5}}, {'in_3_months': {'low': 1730.0, 'high': 1745.0}}, {'in_4_months': {'low': 1746.5, 'high': 1768.0}}, {'in_5_months': {'low': 1763.5, 'high': 1792.5}}]"
7,412000,"[{'in_1_month': {'low': 1703.0, 'high': 1707.0}}, {'in_2_months': {'low': 1710.1666666666667, 'high': 1718.5}}, {'in_3_months': {'low': 1717.5, 'high': 1730.0}}, {'in_4_months': {'low': 1724.5, 'high': 1742.1666666666667}}, {'in_5_months': {'low': 1731.5, 'high': 1754.5}}]"
8,415500,"[{'in_1_month': {'low': 1298.0, 'high': 1345.0}}, {'in_2_months': {'low': 1300.0, 'high': 1364.0}}, {'in_3_months': {'low': 1303.0, 'high': 1382.0}}, {'in_4_months': {'low': 1308.0, 'high': 1399.0}}, {'in_5_months': {'low': 1315.0, 'high': 1416.0}}]"
9,427400,"[{'in_1_month': {'low': 1835.8333333333333, 'high': 1840.0}}, {'in_2_months': {'low': 1847.5, 'high': 1856.0}}, {'in_3_months': {'low': 1859.1666666666667, 'high': 1872.5}}, {'in_4_months': {'low': 1870.1666666666667, 'high': 1889.0}}, {'in_5_months': {'low': 1881.5, 'high': 1906.3333333333333}}]"
