GeoID,Metro Area*,2019 Q3
19500,"Decatur, IL",1
44100,"Springfield, IL",2
37900,"Peoria, IL",3
48660,"Wichita Falls, TX",4
47940,"Waterloo-Cedar Falls, IA",5
19060,"Cumberland, MD-WV",6
49660,"Youngstown-Warren-Boardman, OH-PA",7
16580,"Champaign-Urbana, IL",8
19340,"Davenport-Moline-Rock Island, IA-IL",9
45060,"Syracuse, NY",10
13780,"Binghamton, NY",11
40420,"Rockford, IL",12
14010,"Bloomington, IL",13
45820,"Topeka, KS",14
21300,"Elmira, NY",15
45780,"Toledo, OH",16
21500,"Erie, PA",17
15940,"Canton-Massillon, OH",18
43780,"South Bend-Mishawaka, IN-MI",19
16300,"Cedar Rapids, IA",20
22540,"Fond du Lac, WI",21
40380,"Rochester, NY",22
10420,"Akron, OH",23
29620,"Lansing-East Lansing, MI",24
25420,"Harrisburg-Carlisle, PA",25
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",26
48620,"Wichita, KS",27
19380,"Dayton, OH",28
36420,"Oklahoma City, OK",29
23060,"Fort Wayne, IN",30
17460,"Cleveland-Elyria, OH",31
28100,"Kankakee, IL",32
41180,"St. Louis, MO-IL",33
30780,"Little Rock-North Little Rock-Conway, AR",34
36780,"Oshkosh-Neenah, WI",35
10580,"Albany-Schenectady-Troy, NY",36
25540,"Hartford-West Hartford-East Hartford, CT",37
27140,"Jackson, MS",38
19460,"Decatur, AL",39
39740,"Reading, PA",40
11540,"Appleton, WI",41
30700,"Lincoln, NE",42
49620,"York-Hanover, PA",43
17140,"Cincinnati, OH-KY-IN",44
36540,"Omaha-Council Bluffs, NE-IA",45
19780,"Des Moines-West Des Moines, IA",46
22500,"Florence, SC",47
16620,"Charleston, WV",48
22180,"Fayetteville, NC",49
33860,"Montgomery, AL",50
30460,"Lexington-Fayette, KY",51
25180,"Hagerstown-Martinsburg, MD-WV",52
24020,"Glens Falls, NY",53
11100,"Amarillo, TX",54
22020,"Fargo, ND-MN",55
10900,"Allentown-Bethlehem-Easton, PA-NJ",56
46140,"Tulsa, OK",57
28140,"Kansas City, MO-KS",58
24580,"Green Bay, WI",59
24340,"Grand Rapids-Wyoming, MI",60
17900,"Columbia, SC",61
31140,"Louisville/Jefferson County, KY-IN",62
16020,"Cape Girardeau, MO-IL",63
26900,"Indianapolis-Carmel-Anderson, IN",64
13900,"Bismarck, ND",65
25060,"Gulfport-Biloxi-Pascagoulia, MS",66
13140,"Beaumont-Port Arthur, TX",67
44180,"Springfield, MO",68
38340,"Pittsfield, MA",69
16860,"Chattanooga, TN-GA",70
12940,"Baton Rouge, LA",71
33660,"Mobile, AL",72
23844,"Gary-Hammond, IN",73
43620,"Sioux Falls, SD",74
26620,"Huntsville, AL",75
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",76
35300,"New Haven-Milford, CT",77
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",78
24660,"Greensboro-High Point, NC",79
18140,"Columbus, OH",80
11460,"Ann Arbor, MI",81
45940,"Trenton, NJ",82
32820,"Memphis, TN-MS-AR",83
44140,"Springfield, MA",84
43300,"Sherman-Denison, TX",85
12100,"Atlantic City-Hammonton, NJ",86
49180,"Winston-Salem, NC",87
45220,"Tallahassee, FL",88
28740,"Kingston, NY",89
43340,"Shreveport-Bossier City, LA",90
12060,"Atlanta-Sandy Springs-Marietta, GA",91
18580,"Corpus Christi, TX",92
12580,"Baltimore-Columbia-Towson, MD",93
10180,"Abilene, TX",94
17860,"Columbia, MO",95
43900,"Spartanburg, SC",96
24860,"Greenville-Anderson-Mauldin, SC",97
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",98
35980,"Norwich-New London, CT",99
16980,"Chicago-Naperville-Elgin, IL-IN-WI",100
31700,"Manchester-Nashua, NH",101
13820,"Birmingham-Hoover, AL",102
37340,"Palm Bay-Melbourne-Titusville, FL",103
31540,"Madison, WI",104
28940,"Knoxville, TN",105
14540,"Bowling Green, KY",106
49340,"Worcester, MA-CT",107
23540,"Gainesville, FL",108
37460,"Panama City, FL",109
41700,"San Antonio-New Braunfels, TX",110
37860,"Pensacola-Ferry Pass-Brent, FL",111
39580,"Raleigh, NC",112
15540,"Burlington-South Burlington, VT",113
35380,"New Orleans-Metairie, LA",114
20100,"Dover, DE",115
22140,"Farmington, NM",116
26420,"Houston-The Woodlands-Sugar Land, TX",117
19100,"Dallas-Fort Worth-Arlington, TX",118
16740,"Charlotte-Concord-Gastonia, NC-SC",119
10740,"Albuquerque, NM",120
40060,"Richmond, VA",121
12420,"Austin-Round Rock, TX",122
36100,"Ocala, FL",123
38860,"Portland-South Portland, ME",124
19660,"Deltona-Daytona Beach-Ormond Beach, FL",125
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",126
42680,"Sebastian-Vero Beach, FL",127
21340,"El Paso, TX",128
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",129
33340,"Milwaukee-Waukesha-West Allis, WI",130
48900,"Wilmington, NC",131
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",132
45300,"Tampa-St. Petersburg-Clearwater, FL",133
29460,"Lakeland-Winter Haven, FL",134
39460,"Punta Gorda, FL",135
16700,"Charleston-North Charleston, SC",136
20500,"Durham-Chapel Hill, NC",137
46060,"Tucson, AZ",138
17820,"Colorado Springs, CO",139
27260,"Jacksonville, FL",140
38060,"Phoenix-Mesa-Scottsdale, AZ",141
35004,"Nassau County-Suffolk County, NY",142
38940,"Port St. Lucie, FL",143
18880,"Crestview-Fort Walton Beach-Destin, FL",144
44060,"Spokane-Spokane Valley, WA",145
39300,"Providence-Warwick, RI-MA",146
15980,"Cape Coral-Fort Myers, FL",147
35840,"North Port-Sarasota-Bradenton, FL",148
28420,"Kennewick-Richland, WA",149
36740,"Orlando-Kissimmee-Sanford, FL",150
41620,"Salt Lake City, UT",151
14860,"Bridgeport-Stamford-Norwalk, CT",152
14260,"Boise City-Nampa, ID",153
39900,"Reno, NV",154
38900,"Portland-Vancouver-Hillsboro, OR-WA",155
40900,"Sacramento--Roseville--Arden-Arcade, CA",156
14460,"Boston-Cambridge-Newton, MA-NH",157
19740,"Denver-Aurora-Lakewood, CO",158
29820,"Las Vegas-Henderson-Paradise, NV",159
49420,"Yakima, WA",160
35620,"New York-Newark-Jersey City, NY-NJ-PA",161
21660,"Eugene, OR",162
41420,"Salem, OR",163
42660,"Seattle-Tacoma-Bellevue, WA",164
40140,"Riverside-San Bernardino-Ontario, CA",165
12700,"Barnstable Town, MA",166
14500,"Boulder, CO",167
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",168
34940,"Naples-Immokalee-Marco Island, FL",169
41740,"San Diego-Carlsbad, CA",170
41860,"San Francisco-Oakland-Hayward, CA",171
31084,"Los Angeles-Long Beach-Glendale, CA",172
11244,"Anaheim-Santa Ana-Irvine, CA",173
41940,"San Jose-Sunnyvale-Santa Clara, CA",174
